country,origin,system,status,url,date_recorded,sysID,imageID,statusID,matID
Ukraine,Soviet Union,BMP-1(P),damaged,https://i.postimg.cc/Ghcw1vR9/2011-bmp1-dam-aband-19-03-23.jpg,2023-03-20,5703,55043,3,380-5703550433
Ukraine,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/Ghcw1vR9/2011-bmp1-dam-aband-19-03-23.jpg,2023-03-20,5703,55043,2,380-5703550432
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/gJ5nVx4m/1331.png,2023-03-26,5703,55044,1,380-5703550441
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/x1LnjnCx/449.png,2023-03-26,5703,55045,1,380-5703550451
Ukraine,Soviet Union,BMP-1(P),destroyed,https://postlmg.cc/0KbPTTct,2023-03-29,5703,55046,1,380-5703550461
Ukraine,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/xTLx1hhP/32d.png,2023-03-29,5703,55047,2,380-5703550472
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/tJDBKwph/2001-bmp1-destr-24-03-23.jpg,2023-03-30,5703,55048,1,380-5703550481
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/vTwj2gCk/8874.png,2023-04-01,5703,55049,1,380-5703550491
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/Y0rmM8FH/4f4.png,2023-04-01,5703,55050,1,380-5703550501
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/V6QWVSYy/367.png,2023-04-02,5703,55051,1,380-5703550511
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/k5YyM9Fv/55410.png,2023-04-03,5703,55052,1,380-5703550521
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/T3NYnP7b/2006-bmp1-destr-31-08-22.jpg,2023-04-05,5703,55053,1,380-5703550531
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/YjcCGDbs/2007-bmp1-destr-28-03-23.jpg,2023-04-05,5703,55054,1,380-5703550541
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/6QKzL989/2008-bmp1-destr-30-03-23.jpg,2023-04-05,5703,55055,1,380-5703550551
Ukraine,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/Hx4q4ZYN/2013-bmp1-capt-18-10-22.jpg,2023-04-05,5703,55056,2,380-5703550562
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/2jwKKPzQ/558.png,2023-04-09,5703,55057,1,380-5703550571
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/dt0sqzbG/55890.png,2023-04-11,5703,55058,1,380-5703550581
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/kGPNvMqR/47.png,2023-04-11,5703,55059,1,380-5703550591
Ukraine,Soviet Union,BMP-1(P),destroyed,https://twitter.com/UAWeapons/status/1645162546809417728,2023-04-11,5703,55060,1,380-5703550601
Ukraine,Soviet Union,BMP-1(P),destroyed,https://postlmg.cc/f3QVWPYp,2023-04-12,5703,55061,1,380-5703550611
Ukraine,Soviet Union,BMP-1(P),destroyed,https://postlmg.cc/sMSrr3Rf,2023-04-12,5703,55062,1,380-5703550621
Ukraine,Soviet Union,BMP-1(P),destroyed,https://postlmg.cc/XXyF6HtJ,2023-04-12,5703,55063,1,380-5703550631
Ukraine,Soviet Union,BMP-1(P),destroyed,https://postlmg.cc/q6NFTCr4,2023-04-16,5703,55064,1,380-5703550641
Ukraine,Soviet Union,BMP-1(P),destroyed,https://postimg.cc/QFgQx7yM,2023-04-17,5703,55065,1,380-5703550651
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/B6tGxpQS/d.png,2023-04-17,5703,55066,1,380-5703550661
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/52R545kc/s.png,2023-04-17,5703,55067,1,380-5703550671
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/28vNFThG/5g3.png,2023-04-17,5703,55068,1,380-5703550681
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/W3xDJXcr/422.png,2023-04-17,5703,55069,1,380-5703550691
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/50ggG7Qv/6g6.png,2023-04-17,5703,55070,1,380-5703550701
Ukraine,Soviet Union,BMP-1(P),destroyed,https://postlmg.cc/rKvpnc4R,2023-04-18,5703,55071,1,380-5703550711
Ukraine,Soviet Union,BMP-1(P),destroyed,https://twitter.com/naalsio26/status/1648070146974445574,2023-04-18,5703,55072,1,380-5703550721
Ukraine,Soviet Union,BMP-1(P),damaged,https://twitter.com/UAWeapons/status/1653828968628224000,2023-05-05,5703,54647,3,380-5703546473
Ukraine,Soviet Union,BMP-1(P),abandoned,https://twitter.com/UAWeapons/status/1653828968628224000,2023-05-05,5703,54647,4,380-5703546474
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/DzJ6jy2p/2003-bmp1-destr-01-05-23.jpg,2023-05-06,5703,55073,1,380-5703550731
Ukraine,Soviet Union,BMP-1(P),abandoned,https://i.postimg.cc/QMv683VY/2025-bmp1-aband-25-01-23.jpg,2023-05-10,5703,55074,4,380-5703550744
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/KYsxRdG5/2012-bmp1-destr-10-05-23.jpg,2023-05-17,5703,55075,1,380-5703550751
Ukraine,Soviet Union,BMP-1(P),abandoned,https://i.postimg.cc/3ww3rKTR/2002-bmp1-aband-24-02-22.jpg,2023-05-17,5703,55076,4,380-5703550764
Ukraine,Soviet Union,BMP-1(P),damaged,https://twitter.com/UAWeapons/status/1658807110367313920,2023-05-22,5703,55077,3,380-5703550773
Ukraine,Soviet Union,BMP-1(P),captured,https://twitter.com/UAWeapons/status/1658807110367313920,2023-05-22,5703,55077,2,380-5703550772
Ukraine,Soviet Union,BMP-1(P),destroyed,https://twitter.com/naalsio26/status/1659017576305893376,2023-05-23,5703,55078,1,380-5703550781
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/j5Sv2GxX/2008-bmp1-destr-28-05-23.png,2023-05-30,5703,55079,1,380-5703550791
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/mZzHZy6N/2029-bmp1-destr-29-05-23.jpg,2023-06-04,5703,55080,1,380-5703550801
Ukraine,Soviet Union,BMP-1(P),damaged,https://i.postimg.cc/mkHBxDjC/2027-bmp1-dam-28-05-23.jpg,2023-06-04,5703,55081,3,380-5703550813
